ERPset,value,worklat,chindex,chlabel,bini,binlabel
117-115,256,  [206.0  400.0],130,Posterior,1, Crying1
117-32,278,  [206.0  400.0],130,Posterior,1, Crying1
117-34,304,  [206.0  400.0],130,Posterior,1, Crying1
117-46,296,  [206.0  400.0],130,Posterior,1, Crying1
117-48,302,  [206.0  400.0],130,Posterior,1, Crying1
117-50,382,  [206.0  400.0],130,Posterior,1, Crying1
117-53,224,  [206.0  400.0],130,Posterior,1, Crying1
117-59,292,  [206.0  400.0],130,Posterior,1, Crying1
117-61,260,  [206.0  400.0],130,Posterior,1, Crying1
117-66,338,  [206.0  400.0],130,Posterior,1, Crying1
117-69,220,  [206.0  400.0],130,Posterior,1, Crying1
117-71,256,  [206.0  400.0],130,Posterior,1, Crying1
117-76,268,  [206.0  400.0],130,Posterior,1, Crying1
117-77,290,  [206.0  400.0],130,Posterior,1, Crying1
118-107,336,  [206.0  400.0],130,Posterior,1, Crying1
118-119,238,  [206.0  400.0],130,Posterior,1, Crying1
118-128,328,  [206.0  400.0],130,Posterior,1, Crying1
118-132,220,  [206.0  400.0],130,Posterior,1, Crying1
118-143,286,  [206.0  400.0],130,Posterior,1, Crying1
118-172,292,  [206.0  400.0],130,Posterior,1, Crying1
118-198,282,  [206.0  400.0],130,Posterior,1, Crying1
118-229,284,  [206.0  400.0],130,Posterior,1, Crying1
118-232,254,  [206.0  400.0],130,Posterior,1, Crying1
118-286,328,  [206.0  400.0],130,Posterior,1, Crying1
118-300,326,  [206.0  400.0],130,Posterior,1, Crying1
118-313,316,  [206.0  400.0],130,Posterior,1, Crying1
118-46,348,  [206.0  400.0],130,Posterior,1, Crying1
119-102,234,  [206.0  400.0],130,Posterior,1, Crying1
119-112,370,  [206.0  400.0],130,Posterior,1, Crying1
222-11,278,  [206.0  400.0],130,Posterior,1, Crying1
222-13,286,  [206.0  400.0],130,Posterior,1, Crying1
222-34,306,  [206.0  400.0],130,Posterior,1, Crying1
222-36,390,  [206.0  400.0],130,Posterior,1, Crying1
222-4,252,  [206.0  400.0],130,Posterior,1, Crying1
248-10,222,  [206.0  400.0],130,Posterior,1, Crying1
248-23,274,  [206.0  400.0],130,Posterior,1, Crying1
248-25,246,  [206.0  400.0],130,Posterior,1, Crying1
250-10,258,  [206.0  400.0],130,Posterior,1, Crying1
250-22,244,  [206.0  400.0],130,Posterior,1, Crying1
250-23,266,  [206.0  400.0],130,Posterior,1, Crying1
250-26,314,  [206.0  400.0],130,Posterior,1, Crying1
250-27,378,  [206.0  400.0],130,Posterior,1, Crying1
250-36,296,  [206.0  400.0],130,Posterior,1, Crying1
250-39,242,  [206.0  400.0],130,Posterior,1, Crying1
255-22,234,  [206.0  400.0],130,Posterior,1, Crying1
255-23,334,  [206.0  400.0],130,Posterior,1, Crying1
255-33,262,  [206.0  400.0],130,Posterior,1, Crying1
255-43,270,  [206.0  400.0],130,Posterior,1, Crying1
255-44,218,  [206.0  400.0],130,Posterior,1, Crying1
255-62,276,  [206.0  400.0],130,Posterior,1, Crying1
255-63,300,  [206.0  400.0],130,Posterior,1, Crying1
255-64,342,  [206.0  400.0],130,Posterior,1, Crying1
255-72,212,  [206.0  400.0],130,Posterior,1, Crying1
255-81,328,  [206.0  400.0],130,Posterior,1, Crying1
117-115,266,  [206.0  400.0],130,Posterior,2, Crying2
117-32,248,  [206.0  400.0],130,Posterior,2, Crying2
117-34,298,  [206.0  400.0],130,Posterior,2, Crying2
117-46,224,  [206.0  400.0],130,Posterior,2, Crying2
117-48,310,  [206.0  400.0],130,Posterior,2, Crying2
117-50,288,  [206.0  400.0],130,Posterior,2, Crying2
117-53,216,  [206.0  400.0],130,Posterior,2, Crying2
117-59,326,  [206.0  400.0],130,Posterior,2, Crying2
117-61,234,  [206.0  400.0],130,Posterior,2, Crying2
117-66,318,  [206.0  400.0],130,Posterior,2, Crying2
117-69,232,  [206.0  400.0],130,Posterior,2, Crying2
117-71,360,  [206.0  400.0],130,Posterior,2, Crying2
117-76,262,  [206.0  400.0],130,Posterior,2, Crying2
117-77,304,  [206.0  400.0],130,Posterior,2, Crying2
118-107,388,  [206.0  400.0],130,Posterior,2, Crying2
118-119,222,  [206.0  400.0],130,Posterior,2, Crying2
118-128,312,  [206.0  400.0],130,Posterior,2, Crying2
118-132,328,  [206.0  400.0],130,Posterior,2, Crying2
118-143,288,  [206.0  400.0],130,Posterior,2, Crying2
118-172,292,  [206.0  400.0],130,Posterior,2, Crying2
118-198,278,  [206.0  400.0],130,Posterior,2, Crying2
118-229,210,  [206.0  400.0],130,Posterior,2, Crying2
118-232,252,  [206.0  400.0],130,Posterior,2, Crying2
118-286,336,  [206.0  400.0],130,Posterior,2, Crying2
118-300,342,  [206.0  400.0],130,Posterior,2, Crying2
118-313,306,  [206.0  400.0],130,Posterior,2, Crying2
118-46,282,  [206.0  400.0],130,Posterior,2, Crying2
119-102,222,  [206.0  400.0],130,Posterior,2, Crying2
119-112,322,  [206.0  400.0],130,Posterior,2, Crying2
222-11,272,  [206.0  400.0],130,Posterior,2, Crying2
222-13,270,  [206.0  400.0],130,Posterior,2, Crying2
222-34,342,  [206.0  400.0],130,Posterior,2, Crying2
222-36,348,  [206.0  400.0],130,Posterior,2, Crying2
222-4,220,  [206.0  400.0],130,Posterior,2, Crying2
248-10,222,  [206.0  400.0],130,Posterior,2, Crying2
248-23,224,  [206.0  400.0],130,Posterior,2, Crying2
248-25,266,  [206.0  400.0],130,Posterior,2, Crying2
250-10,282,  [206.0  400.0],130,Posterior,2, Crying2
250-22,236,  [206.0  400.0],130,Posterior,2, Crying2
250-23,256,  [206.0  400.0],130,Posterior,2, Crying2
250-26,306,  [206.0  400.0],130,Posterior,2, Crying2
250-27,224,  [206.0  400.0],130,Posterior,2, Crying2
250-36,262,  [206.0  400.0],130,Posterior,2, Crying2
250-39,248,  [206.0  400.0],130,Posterior,2, Crying2
255-22,238,  [206.0  400.0],130,Posterior,2, Crying2
255-23,328,  [206.0  400.0],130,Posterior,2, Crying2
255-33,262,  [206.0  400.0],130,Posterior,2, Crying2
255-43,288,  [206.0  400.0],130,Posterior,2, Crying2
255-44,382,  [206.0  400.0],130,Posterior,2, Crying2
255-62,218,  [206.0  400.0],130,Posterior,2, Crying2
255-63,306,  [206.0  400.0],130,Posterior,2, Crying2
255-64,338,  [206.0  400.0],130,Posterior,2, Crying2
255-72,318,  [206.0  400.0],130,Posterior,2, Crying2
255-81,358,  [206.0  400.0],130,Posterior,2, Crying2
117-115,304,  [206.0  400.0],130,Posterior,3,Unhappy1
117-32,254,  [206.0  400.0],130,Posterior,3,Unhappy1
117-34,306,  [206.0  400.0],130,Posterior,3,Unhappy1
117-46,230,  [206.0  400.0],130,Posterior,3,Unhappy1
117-48,348,  [206.0  400.0],130,Posterior,3,Unhappy1
117-50,270,  [206.0  400.0],130,Posterior,3,Unhappy1
117-53,378,  [206.0  400.0],130,Posterior,3,Unhappy1
117-59,208,  [206.0  400.0],130,Posterior,3,Unhappy1
117-61,292,  [206.0  400.0],130,Posterior,3,Unhappy1
117-66,316,  [206.0  400.0],130,Posterior,3,Unhappy1
117-69,228,  [206.0  400.0],130,Posterior,3,Unhappy1
117-71,340,  [206.0  400.0],130,Posterior,3,Unhappy1
117-76,248,  [206.0  400.0],130,Posterior,3,Unhappy1
117-77,232,  [206.0  400.0],130,Posterior,3,Unhappy1
118-107,272,  [206.0  400.0],130,Posterior,3,Unhappy1
118-119,244,  [206.0  400.0],130,Posterior,3,Unhappy1
118-128,270,  [206.0  400.0],130,Posterior,3,Unhappy1
118-132,340,  [206.0  400.0],130,Posterior,3,Unhappy1
118-143,268,  [206.0  400.0],130,Posterior,3,Unhappy1
118-172,300,  [206.0  400.0],130,Posterior,3,Unhappy1
118-198,274,  [206.0  400.0],130,Posterior,3,Unhappy1
118-229,242,  [206.0  400.0],130,Posterior,3,Unhappy1
118-232,256,  [206.0  400.0],130,Posterior,3,Unhappy1
118-286,386,  [206.0  400.0],130,Posterior,3,Unhappy1
118-300,330,  [206.0  400.0],130,Posterior,3,Unhappy1
118-313,310,  [206.0  400.0],130,Posterior,3,Unhappy1
118-46,266,  [206.0  400.0],130,Posterior,3,Unhappy1
119-102,228,  [206.0  400.0],130,Posterior,3,Unhappy1
119-112,318,  [206.0  400.0],130,Posterior,3,Unhappy1
222-11,252,  [206.0  400.0],130,Posterior,3,Unhappy1
222-13,292,  [206.0  400.0],130,Posterior,3,Unhappy1
222-34,310,  [206.0  400.0],130,Posterior,3,Unhappy1
222-36,308,  [206.0  400.0],130,Posterior,3,Unhappy1
222-4,304,  [206.0  400.0],130,Posterior,3,Unhappy1
248-10,234,  [206.0  400.0],130,Posterior,3,Unhappy1
248-23,282,  [206.0  400.0],130,Posterior,3,Unhappy1
248-25,210,  [206.0  400.0],130,Posterior,3,Unhappy1
250-10,270,  [206.0  400.0],130,Posterior,3,Unhappy1
250-22,238,  [206.0  400.0],130,Posterior,3,Unhappy1
250-23,274,  [206.0  400.0],130,Posterior,3,Unhappy1
250-26,324,  [206.0  400.0],130,Posterior,3,Unhappy1
250-27,236,  [206.0  400.0],130,Posterior,3,Unhappy1
250-36,294,  [206.0  400.0],130,Posterior,3,Unhappy1
250-39,224,  [206.0  400.0],130,Posterior,3,Unhappy1
255-22,210,  [206.0  400.0],130,Posterior,3,Unhappy1
255-23,328,  [206.0  400.0],130,Posterior,3,Unhappy1
255-33,252,  [206.0  400.0],130,Posterior,3,Unhappy1
255-43,274,  [206.0  400.0],130,Posterior,3,Unhappy1
255-44,224,  [206.0  400.0],130,Posterior,3,Unhappy1
255-62,398,  [206.0  400.0],130,Posterior,3,Unhappy1
255-63,318,  [206.0  400.0],130,Posterior,3,Unhappy1
255-64,328,  [206.0  400.0],130,Posterior,3,Unhappy1
255-72,278,  [206.0  400.0],130,Posterior,3,Unhappy1
255-81,352,  [206.0  400.0],130,Posterior,3,Unhappy1
117-115,300,  [206.0  400.0],130,Posterior,4,Unhappy2
117-32,300,  [206.0  400.0],130,Posterior,4,Unhappy2
117-34,302,  [206.0  400.0],130,Posterior,4,Unhappy2
117-46,274,  [206.0  400.0],130,Posterior,4,Unhappy2
117-48,300,  [206.0  400.0],130,Posterior,4,Unhappy2
117-50,310,  [206.0  400.0],130,Posterior,4,Unhappy2
117-53,340,  [206.0  400.0],130,Posterior,4,Unhappy2
117-59,206,  [206.0  400.0],130,Posterior,4,Unhappy2
117-61,308,  [206.0  400.0],130,Posterior,4,Unhappy2
117-66,374,  [206.0  400.0],130,Posterior,4,Unhappy2
117-69,224,  [206.0  400.0],130,Posterior,4,Unhappy2
117-71,334,  [206.0  400.0],130,Posterior,4,Unhappy2
117-76,260,  [206.0  400.0],130,Posterior,4,Unhappy2
117-77,256,  [206.0  400.0],130,Posterior,4,Unhappy2
118-107,302,  [206.0  400.0],130,Posterior,4,Unhappy2
118-119,228,  [206.0  400.0],130,Posterior,4,Unhappy2
118-128,280,  [206.0  400.0],130,Posterior,4,Unhappy2
118-132,230,  [206.0  400.0],130,Posterior,4,Unhappy2
118-143,276,  [206.0  400.0],130,Posterior,4,Unhappy2
118-172,288,  [206.0  400.0],130,Posterior,4,Unhappy2
118-198,276,  [206.0  400.0],130,Posterior,4,Unhappy2
118-229,328,  [206.0  400.0],130,Posterior,4,Unhappy2
118-232,252,  [206.0  400.0],130,Posterior,4,Unhappy2
118-286,330,  [206.0  400.0],130,Posterior,4,Unhappy2
118-300,380,  [206.0  400.0],130,Posterior,4,Unhappy2
118-313,302,  [206.0  400.0],130,Posterior,4,Unhappy2
118-46,392,  [206.0  400.0],130,Posterior,4,Unhappy2
119-102,230,  [206.0  400.0],130,Posterior,4,Unhappy2
119-112,236,  [206.0  400.0],130,Posterior,4,Unhappy2
222-11,288,  [206.0  400.0],130,Posterior,4,Unhappy2
222-13,304,  [206.0  400.0],130,Posterior,4,Unhappy2
222-34,358,  [206.0  400.0],130,Posterior,4,Unhappy2
222-36,308,  [206.0  400.0],130,Posterior,4,Unhappy2
222-4,248,  [206.0  400.0],130,Posterior,4,Unhappy2
248-10,216,  [206.0  400.0],130,Posterior,4,Unhappy2
248-23,282,  [206.0  400.0],130,Posterior,4,Unhappy2
248-25,252,  [206.0  400.0],130,Posterior,4,Unhappy2
250-10,242,  [206.0  400.0],130,Posterior,4,Unhappy2
250-22,240,  [206.0  400.0],130,Posterior,4,Unhappy2
250-23,268,  [206.0  400.0],130,Posterior,4,Unhappy2
250-26,314,  [206.0  400.0],130,Posterior,4,Unhappy2
250-27,242,  [206.0  400.0],130,Posterior,4,Unhappy2
250-36,282,  [206.0  400.0],130,Posterior,4,Unhappy2
250-39,244,  [206.0  400.0],130,Posterior,4,Unhappy2
255-22,210,  [206.0  400.0],130,Posterior,4,Unhappy2
255-23,342,  [206.0  400.0],130,Posterior,4,Unhappy2
255-33,244,  [206.0  400.0],130,Posterior,4,Unhappy2
255-43,340,  [206.0  400.0],130,Posterior,4,Unhappy2
255-44,280,  [206.0  400.0],130,Posterior,4,Unhappy2
255-62,230,  [206.0  400.0],130,Posterior,4,Unhappy2
255-63,284,  [206.0  400.0],130,Posterior,4,Unhappy2
255-64,338,  [206.0  400.0],130,Posterior,4,Unhappy2
255-72,248,  [206.0  400.0],130,Posterior,4,Unhappy2
255-81,332,  [206.0  400.0],130,Posterior,4,Unhappy2
117-115,266,  [206.0  400.0],130,Posterior,5,Neutral1
117-32,256,  [206.0  400.0],130,Posterior,5,Neutral1
117-34,300,  [206.0  400.0],130,Posterior,5,Neutral1
117-46,224,  [206.0  400.0],130,Posterior,5,Neutral1
117-48,372,  [206.0  400.0],130,Posterior,5,Neutral1
117-50,254,  [206.0  400.0],130,Posterior,5,Neutral1
117-53,350,  [206.0  400.0],130,Posterior,5,Neutral1
117-59,392,  [206.0  400.0],130,Posterior,5,Neutral1
117-61,252,  [206.0  400.0],130,Posterior,5,Neutral1
117-66,330,  [206.0  400.0],130,Posterior,5,Neutral1
117-69,238,  [206.0  400.0],130,Posterior,5,Neutral1
117-71,342,  [206.0  400.0],130,Posterior,5,Neutral1
117-76,256,  [206.0  400.0],130,Posterior,5,Neutral1
117-77,300,  [206.0  400.0],130,Posterior,5,Neutral1
118-107,384,  [206.0  400.0],130,Posterior,5,Neutral1
118-119,230,  [206.0  400.0],130,Posterior,5,Neutral1
118-128,294,  [206.0  400.0],130,Posterior,5,Neutral1
118-132,292,  [206.0  400.0],130,Posterior,5,Neutral1
118-143,278,  [206.0  400.0],130,Posterior,5,Neutral1
118-172,306,  [206.0  400.0],130,Posterior,5,Neutral1
118-198,270,  [206.0  400.0],130,Posterior,5,Neutral1
118-229,388,  [206.0  400.0],130,Posterior,5,Neutral1
118-232,244,  [206.0  400.0],130,Posterior,5,Neutral1
118-286,292,  [206.0  400.0],130,Posterior,5,Neutral1
118-300,254,  [206.0  400.0],130,Posterior,5,Neutral1
118-313,324,  [206.0  400.0],130,Posterior,5,Neutral1
118-46,228,  [206.0  400.0],130,Posterior,5,Neutral1
119-102,212,  [206.0  400.0],130,Posterior,5,Neutral1
119-112,370,  [206.0  400.0],130,Posterior,5,Neutral1
222-11,278,  [206.0  400.0],130,Posterior,5,Neutral1
222-13,282,  [206.0  400.0],130,Posterior,5,Neutral1
222-34,294,  [206.0  400.0],130,Posterior,5,Neutral1
222-36,290,  [206.0  400.0],130,Posterior,5,Neutral1
222-4,236,  [206.0  400.0],130,Posterior,5,Neutral1
248-10,236,  [206.0  400.0],130,Posterior,5,Neutral1
248-23,214,  [206.0  400.0],130,Posterior,5,Neutral1
248-25,280,  [206.0  400.0],130,Posterior,5,Neutral1
250-10,254,  [206.0  400.0],130,Posterior,5,Neutral1
250-22,240,  [206.0  400.0],130,Posterior,5,Neutral1
250-23,276,  [206.0  400.0],130,Posterior,5,Neutral1
250-26,278,  [206.0  400.0],130,Posterior,5,Neutral1
250-27,206,  [206.0  400.0],130,Posterior,5,Neutral1
250-36,268,  [206.0  400.0],130,Posterior,5,Neutral1
250-39,240,  [206.0  400.0],130,Posterior,5,Neutral1
255-22,258,  [206.0  400.0],130,Posterior,5,Neutral1
255-23,324,  [206.0  400.0],130,Posterior,5,Neutral1
255-33,250,  [206.0  400.0],130,Posterior,5,Neutral1
255-43,262,  [206.0  400.0],130,Posterior,5,Neutral1
255-44,300,  [206.0  400.0],130,Posterior,5,Neutral1
255-62,266,  [206.0  400.0],130,Posterior,5,Neutral1
255-63,328,  [206.0  400.0],130,Posterior,5,Neutral1
255-64,336,  [206.0  400.0],130,Posterior,5,Neutral1
255-72,214,  [206.0  400.0],130,Posterior,5,Neutral1
255-81,372,  [206.0  400.0],130,Posterior,5,Neutral1
117-115,258,  [206.0  400.0],130,Posterior,6,Neutral2
117-32,268,  [206.0  400.0],130,Posterior,6,Neutral2
117-34,298,  [206.0  400.0],130,Posterior,6,Neutral2
117-46,208,  [206.0  400.0],130,Posterior,6,Neutral2
117-48,302,  [206.0  400.0],130,Posterior,6,Neutral2
117-50,380,  [206.0  400.0],130,Posterior,6,Neutral2
117-53,340,  [206.0  400.0],130,Posterior,6,Neutral2
117-59,272,  [206.0  400.0],130,Posterior,6,Neutral2
117-61,400,  [206.0  400.0],130,Posterior,6,Neutral2
117-66,316,  [206.0  400.0],130,Posterior,6,Neutral2
117-69,218,  [206.0  400.0],130,Posterior,6,Neutral2
117-71,336,  [206.0  400.0],130,Posterior,6,Neutral2
117-76,250,  [206.0  400.0],130,Posterior,6,Neutral2
117-77,242,  [206.0  400.0],130,Posterior,6,Neutral2
118-107,226,  [206.0  400.0],130,Posterior,6,Neutral2
118-119,240,  [206.0  400.0],130,Posterior,6,Neutral2
118-128,264,  [206.0  400.0],130,Posterior,6,Neutral2
118-132,326,  [206.0  400.0],130,Posterior,6,Neutral2
118-143,266,  [206.0  400.0],130,Posterior,6,Neutral2
118-172,298,  [206.0  400.0],130,Posterior,6,Neutral2
118-198,274,  [206.0  400.0],130,Posterior,6,Neutral2
118-229,302,  [206.0  400.0],130,Posterior,6,Neutral2
118-232,262,  [206.0  400.0],130,Posterior,6,Neutral2
118-286,212,  [206.0  400.0],130,Posterior,6,Neutral2
118-300,302,  [206.0  400.0],130,Posterior,6,Neutral2
118-313,306,  [206.0  400.0],130,Posterior,6,Neutral2
118-46,376,  [206.0  400.0],130,Posterior,6,Neutral2
119-102,220,  [206.0  400.0],130,Posterior,6,Neutral2
